date,open,close,high,low,volume,amount
2024-11-15,10.902,10.842,11.012,10.822,1215784.0,0
2024-11-18,11.032,11.152,11.442,11.022,3797324.0,0
2024-11-19,11.152,11.082,11.362,10.952,2430037.0,0
2024-11-20,11.072,11.042,11.152,11.012,1286572.0,0
2024-11-21,11.022,10.992,11.052,10.962,883408.0,0
2024-11-22,10.992,10.682,11.012,10.682,1625317.0,0
2024-11-25,10.682,10.582,10.742,10.542,1166020.0,0
2024-11-26,10.582,10.672,10.712,10.542,831078.0,0
2024-11-27,10.642,10.792,10.792,10.552,895178.0,0
2024-11-28,10.792,10.742,10.822,10.722,733169.0,0
2024-11-29,10.772,10.782,10.862,10.742,1028488.0,0
2024-12-02,10.792,10.792,10.802,10.712,975434.0,0
2024-12-03,10.772,10.892,10.902,10.752,1082559.0,0
2024-12-04,10.842,10.862,10.932,10.772,1007471.0,0
2024-12-05,10.842,10.842,10.902,10.812,687109.0,0
2024-12-06,10.842,11.062,11.102,10.832,1726269.0,0
2024-12-09,11.032,11.072,11.122,10.992,964063.0,0
2024-12-10,11.302,11.192,11.352,11.152,2167807.0,0
2024-12-11,11.192,11.132,11.232,11.122,967691.0,0
2024-12-12,11.132,11.252,11.272,11.112,986235.0,0
2024-12-13,11.192,10.962,11.202,10.962,1343793.0,0
2024-12-16,10.962,10.972,11.062,10.932,805718.0,0
2024-12-17,10.972,10.932,11.052,10.922,802120.0,0
2024-12-18,10.982,11.052,11.142,10.972,1016590.0,0
2024-12-19,10.992,10.992,11.042,10.942,697379.0,0
2024-12-20,10.992,11.022,11.102,10.982,714646.0,0
2024-12-23,11.042,11.132,11.242,11.042,1659405.0,0
2024-12-24,11.122,11.262,11.272,11.122,1350837.0,0
2024-12-25,11.262,11.322,11.422,11.242,1475283.0,0
2024-12-26,11.322,11.262,11.332,11.182,1000075.0,0
2024-12-27,11.272,11.232,11.302,11.062,1290012.0,0
2024-12-30,11.182,11.352,11.372,11.182,1351846.0,0
2024-12-31,11.332,11.102,11.392,11.102,1475367.0,0
2025-01-02,11.132,10.832,11.172,10.792,1819597.0,0
2025-01-03,10.842,10.782,10.942,10.762,1154680.0,0
2025-01-06,10.782,10.842,10.882,10.622,1085536.0,0
2025-01-07,10.822,10.912,10.932,10.772,747863.0,0
2025-01-08,10.902,10.902,11.032,10.802,1062386.0,0
2025-01-09,10.902,10.802,10.902,10.752,751483.0,0
2025-01-10,10.802,10.702,10.862,10.682,798134.0,0
2025-01-13,10.652,10.602,10.662,10.482,934966.0,0
2025-01-14,10.602,10.782,10.802,10.592,824629.0,0
2025-01-15,10.782,10.882,10.982,10.762,1031631.0,0
2025-01-16,10.952,10.972,10.992,10.872,872964.0,0
2025-01-17,10.932,10.852,10.952,10.822,689765.0,0
2025-01-20,10.902,10.822,10.922,10.802,832029.0,0
2025-01-21,10.852,10.732,10.852,10.722,902069.0,0
2025-01-22,10.722,10.492,10.732,10.482,1347129.0,0
2025-01-23,10.572,10.722,10.802,10.572,1514920.0,0
2025-01-24,10.722,10.742,10.792,10.622,944944.0,0
2025-01-27,10.782,10.872,10.952,10.782,1151935.0,0
2025-02-05,10.902,10.772,10.922,10.732,843434.0,0
2025-02-06,10.752,10.762,10.852,10.702,955603.0,0
2025-02-07,10.762,10.782,10.852,10.712,1407493.0,0
2025-02-10,10.782,10.832,10.902,10.762,1026591.0,0
2025-02-11,10.802,10.822,10.872,10.772,844520.0,0
2025-02-12,10.812,10.822,10.832,10.742,988807.0,0
2025-02-13,10.822,10.902,10.952,10.802,1358639.0,0
2025-02-14,10.892,10.952,10.952,10.832,973058.0,0
2025-02-17,11.002,11.182,11.202,10.952,2061965.0,0
2025-02-18,11.162,11.212,11.362,11.162,1996610.0,0
2025-02-19,11.202,11.112,11.212,11.082,1177749.0,0
2025-02-20,11.112,11.062,11.162,11.052,784396.0,0
2025-02-21,11.092,11.042,11.112,10.952,973969.0,0
2025-02-24,11.032,10.992,11.092,10.962,949956.0,0
2025-02-25,10.962,10.872,10.982,10.862,917156.0,0
2025-02-26,10.872,10.922,11.002,10.872,841646.0,0
2025-02-27,10.932,11.022,11.032,10.862,977310.0,0
2025-02-28,10.982,10.932,11.082,10.902,949088.0,0
2025-03-03,10.922,10.912,10.962,10.852,830457.0,0
2025-03-04,10.872,10.912,10.952,10.842,683179.0,0
2025-03-05,10.922,11.062,11.072,10.882,1080645.0,0
2025-03-06,11.092,11.032,11.102,11.002,877408.0,0
2025-03-07,11.032,11.072,11.092,11.002,835537.0,0
2025-03-10,11.062,10.992,11.072,10.952,663834.0,0
2025-03-11,10.942,11.012,11.012,10.922,608975.0,0
2025-03-12,11.002,11.252,11.272,10.962,1877318.0,0
2025-03-13,11.212,11.242,11.312,11.182,1312371.0,0
2025-03-14,11.222,11.372,11.402,11.222,1722418.0,0
2025-03-17,11.032,10.902,11.072,10.862,4603612.0,0
2025-03-18,10.922,10.892,10.942,10.882,1605290.0,0
2025-03-19,10.882,10.922,10.932,10.862,1362455.0,0
2025-03-20,10.912,10.892,11.012,10.892,1101157.0,0
2025-03-21,10.892,10.822,10.922,10.792,1376389.0,0
2025-03-24,10.812,10.782,10.842,10.742,1164577.0,0
2025-03-25,10.782,10.832,10.832,10.762,735609.0,0
2025-03-26,10.822,10.782,10.832,10.772,740863.0,0
2025-03-27,10.772,10.792,10.812,10.752,553349.0,0
2025-03-28,10.792,10.752,10.802,10.742,644946.0,0
2025-03-31,10.762,10.662,10.782,10.662,1116126.0,0
2025-04-01,10.672,10.672,10.702,10.622,681470.0,0
2025-04-02,10.652,10.772,10.812,10.652,932642.0,0
2025-04-03,10.712,10.742,10.792,10.702,643914.0,0
2025-04-07,10.402,10.102,10.452,9.882,2545560.0,0
2025-04-08,10.082,10.222,10.252,10.062,1463988.0,0
2025-04-09,10.132,10.202,10.232,10.062,1064394.0,0
2025-04-10,10.262,10.302,10.332,10.222,866548.0,0
2025-04-11,10.272,10.292,10.302,10.232,583879.0,0
